Taxon,Subtaxon,Family,Scientific Name,Common Name,ESA,MESA,IUCN,RSGCN,G-Rank,S-Rank,USFWS,SGCN,BHHA,Priority at-risk Species,Thresholds,CCVA,Threats,Description of Threats,Pop. Trend,Other,CCVA Source,Total # of Conservation Sources,Total # of Climate Sources
Bird,Shorebird,Scolopacidae,Gallinago delicata,Wilson's snipe,NA,NA,LC,H,G5,S1,NA,Y,,N,N,NA,DEV;AG;EN,"Housing & urban areas, commercial & industrial areas, annual & perennial non-timber crops, and mining & quarrying",Increasing,"MA Breeding Bird Atlas says local and likely increasing; also increasing on MA Breeding Bird Survey routes, but habitat is still very limited",NA,4,1
Bird,Seabird,Procellariidae,Calonectris diomedea,Scopoli's shearwater,NA,NA,LC,NA,G5,S3,NA,Y,N,N,N,NA,DEV;BIO;INV;POL,"Housing & urban areas, fishing & harvesting aquatic resources, invasive non-native/alien species/diseases, and excess energy",Decreasing,NA,NA,3,1
Bird,Tern,Laridae,Sternula antillarum,Least tern,NA,SC,LC,VH,G4,S2,NA,Y,N,N,N,NA,DEV;DIS;CC,"Housing & urban areas, recreational activities, and habitat shifting & alteration",Decreasing,Highest priority Waterbird Plan Only a few breeding colonies,NA,5,1
Fish,,Syngnathidae,Syngnathus fuscus,Northern pipefish,NA,NA,LC,NA,G5,S5,NA,N,Y,N,N,NA,DEV;POL,"Housing & urban areas, commercial & industrial areas, tourism & recreation areas, domestic & urban waste water, and agricultural & forestry effluents",Unknown,NA,NA,3,1
Bird,Shorebird,Emberizidae,Ammodramus caudacutus,Saltmarsh sparrow,NA,SC,EN,VH,G2,S3,11,Y,N,Y,Y,NA,DEV;TRA;NAT;INV;POL;CC,"Housing & urban areas, roads & railroads, other ecosystem modifications, invasive non-native/alien species/diseases, problematic native species/diseases, industrial & military effluents, agricultural & forestry effluents, habitat shifting & alteration, and storms & flooding",Decreasing,NA,NA,6,2
Bird,Gull,Laridae,Larus smithsonianus,American herring gull,NA,NA,LC,NA,NA,NA,NA,N,N,N,N,NA,EN;BIO;CC,"Renewable energy, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, and habitat shifting & alteration",Decreasing,NA,NA,1,1
Bird,Shorebird,Pandionidae,Pandion haliaetus,Osprey,NA,NA,LC,NA,G5,S4,NA,N,Y,N,N,NA,EN;BIO;DIS;POL,"Renewable energy, hunting & trapping terrestrial animals, recreational activities, and agricultural & forestry effluents",Increasing,NA,NA,3,1
Bird,Seabird,Alcidae,Alca torda,Razorbill,NA,NA,NT,NA,G5,S4,NA,N,N,N,N,NA,EN;BIO;INV;POL;CC,"Mining & quarrying, renewable energy, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, invasive non-native/alien species/diseases, industrial & military effluents, temperature extremes, and storms & flooding",Decreasing,NA,NA,3,1
Bird,Seaduck,Anatidae,Clangula hyemalis,Long-tailed duck,NA,NA,VU,NA,G5,S5,NA,Y,N,N,N,NA,EN;BIO;INV;POL;CC,"Oil & gas drilling, mining & quarrying, renewable energy, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, invasive non-native/alien species/diseases, viral/prion-induced diseases, industrial & military effluents, and habitat shifting & alteration",Decreasing,NA,NA,3,1
Bird,Seaduck,Anatidae,Melanitta fusca,Velvet scoter,NA,NA,VU,NA,NA,NA,NA,N,N,N,N,NA,EN;BIO;INV;POL;CC,"Oil & gas drilling, mining & quarrying, renewable energy, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, invasive non-native/alien species/diseases, viral/prion-induced diseases, industrial & military effluents, and habitat shifting & alteration",Decreasing,NA,NA,1,1
Bird,Seabird,Sulidae,Morus bassanus,Northern gannet,NA,NA,LC,NA,G5,S5,NA,Y,N,N,N,NA,EN;BIO;POL,"Renewable energy, fishing & harvesting aquatic resources, and garbage & solid waste",Increasing,NA,NA,3,1
Bird,Seaduck,Anatidae,Aythya marila,Greater scaup,NA,NA,LC,NA,G5,S5,NA,N,N,N,N,NA,EN;BIO;POL;CC,"Oil & gas drilling, renewable energy, hunting & trapping terrestrial animals, fishing & harvesting aquatic resources, industrial & military effluents, and habitat shifting & alteration",Decreasing,NA,NA,3,1
